"","Modelo","overall_accuracy","overall_error","Factor_0_Accuracy","Factor_1_Accuracy","Factor_2_Accuracy","Factor_3_Accuracy","experimento","grupo","dataset"
"resumen_metricas9119","modelo_reg_log_ridge",0.87374,0.12626,0.98131,0.76289,0.77083,0.96875,2,5,"moviles232"
"resumen_metricas10119","modelo_reg_log_ridge",0.83081,0.16919,0.9901,0.63559,0.7907,0.94505,3,1,"moviles232"
"resumen_metricas11147","modelo_reg_log_ridge",0.83333,0.16667,0.95833,0.74747,0.67647,0.9596,3,2,"moviles232"
"resumen_metricas12127","modelo_reg_log_ridge",0.84091,0.15909,0.96842,0.70103,0.71287,0.98058,3,3,"moviles232"
"resumen_metricas13119","modelo_reg_log_ridge",0.80556,0.19444,0.94,0.68132,0.7037,0.89691,3,4,"moviles232"
"resumen_metricas14119","modelo_reg_log_ridge",0.89141,0.10859,0.96154,0.8,0.81818,0.97087,3,5,"moviles232"
"resumen_metricas170","modelo_knn - rectangular",0.68,0.32,0.81513,0.56044,0.64516,0.65979,1,1,"moviles111"
"resumen_metricas.170","modelo_knn - triangular",0.665,0.335,0.7479,0.59341,0.58065,0.71134,1,1,"moviles111"
"resumen_metricas.260","modelo_knn - epanechnikov",0.665,0.335,0.7395,0.6044,0.58065,0.71134,1,1,"moviles111"
"resumen_metricas.360","modelo_knn - biweight",0.66,0.34,0.77311,0.53846,0.58065,0.71134,1,1,"moviles111"
"resumen_metricas.4","modelo_knn - triweight",0.6225,0.3775,0.76471,0.51648,0.53763,0.62887,1,1,"moviles111"
"resumen_metricas.5","modelo_knn - cos",0.6725,0.3275,0.7563,0.6044,0.5914,0.71134,1,1,"moviles111"
"resumen_metricas.6","modelo_knn - inv",0.685,0.315,0.78151,0.59341,0.66667,0.6701,1,1,"moviles111"
"resumen_metricas.7","modelo_knn - gaussian",0.6825,0.3175,0.78151,0.6044,0.62366,0.69072,1,1,"moviles111"
"resumen_metricas.8","modelo_knn - optimal",0.6725,0.3275,0.7563,0.59341,0.60215,0.71134,1,1,"moviles111"
"resumen_metricas178","modelo_knn - rectangular",0.6475,0.3525,0.84146,0.37037,0.63158,0.8125,1,2,"moviles111"
"resumen_metricas.1153","modelo_knn - triangular",0.69,0.31,0.81707,0.51852,0.64035,0.83333,1,2,"moviles111"
"resumen_metricas.2151","modelo_knn - epanechnikov",0.685,0.315,0.80488,0.51852,0.63158,0.83333,1,2,"moviles111"
"resumen_metricas.3151","modelo_knn - biweight",0.6475,0.3525,0.7561,0.49074,0.57895,0.8125,1,2,"moviles111"
"resumen_metricas.41","modelo_knn - triweight",0.615,0.385,0.69512,0.51852,0.52632,0.76042,1,2,"moviles111"
"resumen_metricas.51","modelo_knn - cos",0.69,0.31,0.81707,0.51852,0.64035,0.83333,1,2,"moviles111"
"resumen_metricas.61","modelo_knn - inv",0.675,0.325,0.85366,0.44444,0.61404,0.85417,1,2,"moviles111"
"resumen_metricas.71","modelo_knn - gaussian",0.6775,0.3225,0.81707,0.48148,0.62281,0.84375,1,2,"moviles111"
"resumen_metricas.81","modelo_knn - optimal",0.68,0.32,0.78049,0.52778,0.62281,0.83333,1,2,"moviles111"
"resumen_metricas230","modelo_knn - rectangular",0.71,0.29,0.81197,0.52128,0.68687,0.8,1,3,"moviles111"
"resumen_metricas.1217","modelo_knn - triangular",0.695,0.305,0.82051,0.52128,0.61616,0.8,1,3,"moviles111"
"resumen_metricas.2215","modelo_knn - epanechnikov",0.705,0.295,0.82906,0.54255,0.62626,0.8,1,3,"moviles111"
"resumen_metricas.3215","modelo_knn - biweight",0.68,0.32,0.82906,0.53191,0.55556,0.77778,1,3,"moviles111"
"resumen_metricas.42","modelo_knn - triweight",0.6575,0.3425,0.78632,0.55319,0.50505,0.76667,1,3,"moviles111"
"resumen_metricas.52","modelo_knn - cos",0.7,0.3,0.82051,0.53191,0.62626,0.8,1,3,"moviles111"
"resumen_metricas.62","modelo_knn - inv",0.73,0.27,0.83761,0.56383,0.69697,0.8,1,3,"moviles111"
"resumen_metricas.72","modelo_knn - gaussian",0.715,0.285,0.82051,0.58511,0.63636,0.8,1,3,"moviles111"
"resumen_metricas.82","modelo_knn - optimal",0.685,0.315,0.81197,0.5,0.62626,0.77778,1,3,"moviles111"
"resumen_metricas330","modelo_knn - rectangular",0.67,0.33,0.78049,0.5619,0.62264,0.73832,1,4,"moviles111"
"resumen_metricas.1315","modelo_knn - triangular",0.66,0.34,0.81707,0.51429,0.56604,0.7757,1,4,"moviles111"
"resumen_metricas.2313","modelo_knn - epanechnikov",0.66,0.34,0.81707,0.51429,0.56604,0.7757,1,4,"moviles111"
"resumen_metricas.3313","modelo_knn - biweight",0.6425,0.3575,0.81707,0.50476,0.51887,0.76636,1,4,"moviles111"
"resumen_metricas.43","modelo_knn - triweight",0.6275,0.3725,0.7561,0.49524,0.5283,0.75701,1,4,"moviles111"
"resumen_metricas.53","modelo_knn - cos",0.655,0.345,0.81707,0.49524,0.56604,0.7757,1,4,"moviles111"
"resumen_metricas.63","modelo_knn - inv",0.67,0.33,0.76829,0.53333,0.63208,0.76636,1,4,"moviles111"
"resumen_metricas.73","modelo_knn - gaussian",0.6625,0.3375,0.80488,0.52381,0.58491,0.76636,1,4,"moviles111"
"resumen_metricas.83","modelo_knn - optimal",0.6675,0.3325,0.85366,0.50476,0.56604,0.78505,1,4,"moviles111"
"resumen_metricas430","modelo_knn - rectangular",0.6675,0.3325,0.76,0.47059,0.72727,0.71818,1,5,"moviles111"
"resumen_metricas.1414","modelo_knn - triangular",0.685,0.315,0.76,0.46078,0.75,0.77273,1,5,"moviles111"
"resumen_metricas.2412","modelo_knn - epanechnikov",0.67,0.33,0.76,0.44118,0.72727,0.75455,1,5,"moviles111"
"resumen_metricas.3412","modelo_knn - biweight",0.6625,0.3375,0.77,0.44118,0.71591,0.72727,1,5,"moviles111"
"resumen_metricas.44","modelo_knn - triweight",0.6275,0.3725,0.77,0.43137,0.625,0.68182,1,5,"moviles111"
"resumen_metricas.54","modelo_knn - cos",0.6725,0.3275,0.76,0.44118,0.71591,0.77273,1,5,"moviles111"
"resumen_metricas.64","modelo_knn - inv",0.6775,0.3225,0.77,0.5098,0.70455,0.72727,1,5,"moviles111"
"resumen_metricas.74","modelo_knn - gaussian",0.6925,0.3075,0.78,0.5,0.71591,0.77273,1,5,"moviles111"
"resumen_metricas.84","modelo_knn - optimal",0.6575,0.3425,0.75,0.41176,0.72727,0.74545,1,5,"moviles111"
"resumen_metricas530","modelo_knn - rectangular",0.6875,0.3125,0.84946,0.51,0.57377,0.88235,2,1,"moviles111"
"resumen_metricas.1514","modelo_knn - triangular",0.6625,0.3375,0.82796,0.48,0.54098,0.87059,2,1,"moviles111"
"resumen_metricas.2512","modelo_knn - epanechnikov",0.655,0.345,0.8172,0.47,0.54098,0.85882,2,1,"moviles111"
"resumen_metricas.3512","modelo_knn - biweight",0.64,0.36,0.78495,0.47,0.53279,0.83529,2,1,"moviles111"
"resumen_metricas.45","modelo_knn - triweight",0.615,0.385,0.73118,0.48,0.5,0.81176,2,1,"moviles111"
"resumen_metricas.55","modelo_knn - cos",0.655,0.345,0.8172,0.47,0.54098,0.85882,2,1,"moviles111"
"resumen_metricas.65","modelo_knn - inv",0.675,0.325,0.83871,0.49,0.57377,0.85882,2,1,"moviles111"
"resumen_metricas.75","modelo_knn - gaussian",0.6775,0.3225,0.84946,0.5,0.57377,0.84706,2,1,"moviles111"
"resumen_metricas.85","modelo_knn - optimal",0.6625,0.3375,0.8172,0.49,0.54918,0.85882,2,1,"moviles111"
"resumen_metricas630","modelo_knn - rectangular",0.6925,0.3075,0.875,0.5534,0.64356,0.72222,2,2,"moviles111"
"resumen_metricas.1614","modelo_knn - triangular",0.6525,0.3475,0.78409,0.5534,0.57426,0.71296,2,2,"moviles111"
"resumen_metricas.2612","modelo_knn - epanechnikov",0.6525,0.3475,0.79545,0.54369,0.58416,0.7037,2,2,"moviles111"
"resumen_metricas.3612","modelo_knn - biweight",0.615,0.385,0.77273,0.53398,0.50495,0.66667,2,2,"moviles111"
"resumen_metricas.46","modelo_knn - triweight",0.5925,0.4075,0.76136,0.51456,0.48515,0.62963,2,2,"moviles111"
"resumen_metricas.56","modelo_knn - cos",0.655,0.345,0.79545,0.54369,0.58416,0.71296,2,2,"moviles111"
"resumen_metricas.66","modelo_knn - inv",0.6875,0.3125,0.85227,0.56311,0.62376,0.73148,2,2,"moviles111"
"resumen_metricas.76","modelo_knn - gaussian",0.685,0.315,0.82955,0.57282,0.64356,0.71296,2,2,"moviles111"
"resumen_metricas.86","modelo_knn - optimal",0.67,0.33,0.79545,0.57282,0.60396,0.72222,2,2,"moviles111"
"resumen_metricas730","modelo_knn - rectangular",0.655,0.345,0.83333,0.48624,0.73171,0.59813,2,3,"moviles111"
"resumen_metricas.1714","modelo_knn - triangular",0.6675,0.3325,0.83333,0.47706,0.70732,0.6729,2,3,"moviles111"
"resumen_metricas.2712","modelo_knn - epanechnikov",0.6575,0.3425,0.82353,0.47706,0.67073,0.6729,2,3,"moviles111"
"resumen_metricas.3712","modelo_knn - biweight",0.6175,0.3825,0.79412,0.43119,0.58537,0.66355,2,3,"moviles111"
"resumen_metricas.47","modelo_knn - triweight",0.615,0.385,0.7549,0.44954,0.54878,0.70093,2,3,"moviles111"
"resumen_metricas.57","modelo_knn - cos",0.665,0.335,0.82353,0.48624,0.69512,0.6729,2,3,"moviles111"
"resumen_metricas.67","modelo_knn - inv",0.6475,0.3525,0.82353,0.47706,0.69512,0.61682,2,3,"moviles111"
"resumen_metricas.77","modelo_knn - gaussian",0.67,0.33,0.85294,0.49541,0.71951,0.63551,2,3,"moviles111"
"resumen_metricas.87","modelo_knn - optimal",0.6675,0.3325,0.82353,0.47706,0.70732,0.68224,2,3,"moviles111"
"resumen_metricas830","modelo_knn - rectangular",0.66,0.34,0.72072,0.56122,0.5914,0.7551,2,4,"moviles111"
"resumen_metricas.1814","modelo_knn - triangular",0.6575,0.3425,0.72973,0.57143,0.58065,0.73469,2,4,"moviles111"
"resumen_metricas.2812","modelo_knn - epanechnikov",0.65,0.35,0.71171,0.57143,0.56989,0.73469,2,4,"moviles111"
"resumen_metricas.3812","modelo_knn - biweight",0.6275,0.3725,0.74775,0.52041,0.54839,0.67347,2,4,"moviles111"
"resumen_metricas.48","modelo_knn - triweight",0.6175,0.3825,0.73874,0.55102,0.52688,0.63265,2,4,"moviles111"
"resumen_metricas.58","modelo_knn - cos",0.6575,0.3425,0.72973,0.57143,0.58065,0.73469,2,4,"moviles111"
"resumen_metricas.68","modelo_knn - inv",0.66,0.34,0.72973,0.55102,0.60215,0.7449,2,4,"moviles111"
"resumen_metricas.78","modelo_knn - gaussian",0.6675,0.3325,0.72973,0.58163,0.5914,0.7551,2,4,"moviles111"
"resumen_metricas.88","modelo_knn - optimal",0.6675,0.3325,0.74775,0.60204,0.60215,0.70408,2,4,"moviles111"
"resumen_metricas930","modelo_knn - rectangular",0.6475,0.3525,0.78302,0.64444,0.5098,0.64706,2,5,"moviles111"
"resumen_metricas.1914","modelo_knn - triangular",0.695,0.305,0.82075,0.65556,0.57843,0.71569,2,5,"moviles111"
"resumen_metricas.2912","modelo_knn - epanechnikov",0.69,0.31,0.80189,0.66667,0.56863,0.71569,2,5,"moviles111"
"resumen_metricas.3912","modelo_knn - biweight",0.67,0.33,0.85849,0.61111,0.52941,0.66667,2,5,"moviles111"
"resumen_metricas.49","modelo_knn - triweight",0.6225,0.3775,0.79245,0.54444,0.47059,0.66667,2,5,"moviles111"
"resumen_metricas.59","modelo_knn - cos",0.695,0.305,0.81132,0.66667,0.57843,0.71569,2,5,"moviles111"
"resumen_metricas.69","modelo_knn - inv",0.6675,0.3325,0.76415,0.64444,0.55882,0.69608,2,5,"moviles111"
"resumen_metricas.79","modelo_knn - gaussian",0.68,0.32,0.78302,0.62222,0.59804,0.70588,2,5,"moviles111"
"resumen_metricas.89","modelo_knn - optimal",0.685,0.315,0.79245,0.64444,0.58824,0.70588,2,5,"moviles111"
"resumen_metricas1030","modelo_knn - rectangular",0.6675,0.3325,0.82828,0.53846,0.61616,0.69388,3,1,"moviles111"
"resumen_metricas.11014","modelo_knn - triangular",0.675,0.325,0.78788,0.54808,0.64646,0.72449,3,1,"moviles111"
"resumen_metricas.21012","modelo_knn - epanechnikov",0.6775,0.3225,0.78788,0.55769,0.64646,0.72449,3,1,"moviles111"
"resumen_metricas.31012","modelo_knn - biweight",0.635,0.365,0.70707,0.50962,0.60606,0.72449,3,1,"moviles111"
"resumen_metricas.410","modelo_knn - triweight",0.6,0.4,0.70707,0.45192,0.56566,0.68367,3,1,"moviles111"
"resumen_metricas.510","modelo_knn - cos",0.6775,0.3225,0.78788,0.55769,0.64646,0.72449,3,1,"moviles111"
"resumen_metricas.610","modelo_knn - inv",0.675,0.325,0.82828,0.54808,0.63636,0.69388,3,1,"moviles111"
"resumen_metricas.710","modelo_knn - gaussian",0.68,0.32,0.79798,0.56731,0.62626,0.73469,3,1,"moviles111"
"resumen_metricas.810","modelo_knn - optimal",0.6775,0.3225,0.75758,0.58654,0.63636,0.73469,3,1,"moviles111"
"resumen_metricas1130","modelo_knn - rectangular",0.64,0.36,0.71875,0.5,0.66327,0.66102,3,2,"moviles111"
"resumen_metricas.11117","modelo_knn - triangular",0.6625,0.3375,0.76042,0.51136,0.65306,0.70339,3,2,"moviles111"
"resumen_metricas.21115","modelo_knn - epanechnikov",0.665,0.335,0.76042,0.53409,0.64286,0.70339,3,2,"moviles111"
"resumen_metricas.31115","modelo_knn - biweight",0.63,0.37,0.6875,0.51136,0.60204,0.69492,3,2,"moviles111"
"resumen_metricas.411","modelo_knn - triweight",0.6025,0.3975,0.67708,0.51136,0.58163,0.62712,3,2,"moviles111"
"resumen_metricas.511","modelo_knn - cos",0.6675,0.3325,0.76042,0.53409,0.65306,0.70339,3,2,"moviles111"
"resumen_metricas.611","modelo_knn - inv",0.6475,0.3525,0.72917,0.55682,0.65306,0.64407,3,2,"moviles111"
"resumen_metricas.711","modelo_knn - gaussian",0.65,0.35,0.77083,0.48864,0.63265,0.68644,3,2,"moviles111"
"resumen_metricas.811","modelo_knn - optimal",0.665,0.335,0.75,0.55682,0.64286,0.69492,3,2,"moviles111"
"resumen_metricas1230","modelo_knn - rectangular",0.685,0.315,0.71818,0.58511,0.71739,0.71154,3,3,"moviles111"
"resumen_metricas.11215","modelo_knn - triangular",0.6975,0.3025,0.74545,0.58511,0.69565,0.75,3,3,"moviles111"
"resumen_metricas.21213","modelo_knn - epanechnikov",0.7025,0.2975,0.76364,0.57447,0.70652,0.75,3,3,"moviles111"
"resumen_metricas.31213","modelo_knn - biweight",0.68,0.32,0.75455,0.57447,0.6413,0.73077,3,3,"moviles111"
"resumen_metricas.412","modelo_knn - triweight",0.6725,0.3275,0.77273,0.55319,0.59783,0.74038,3,3,"moviles111"
"resumen_metricas.512","modelo_knn - cos",0.695,0.305,0.74545,0.56383,0.70652,0.75,3,3,"moviles111"
"resumen_metricas.612","modelo_knn - inv",0.6875,0.3125,0.72727,0.58511,0.70652,0.72115,3,3,"moviles111"
"resumen_metricas.712","modelo_knn - gaussian",0.6975,0.3025,0.74545,0.58511,0.69565,0.75,3,3,"moviles111"
"resumen_metricas.812","modelo_knn - optimal",0.6875,0.3125,0.74545,0.56383,0.66304,0.75962,3,3,"moviles111"
"resumen_metricas1330","modelo_knn - rectangular",0.6675,0.3325,0.86022,0.45283,0.62264,0.76842,3,4,"moviles111"
"resumen_metricas.11314","modelo_knn - triangular",0.6325,0.3675,0.78495,0.40566,0.61321,0.75789,3,4,"moviles111"
"resumen_metricas.21312","modelo_knn - epanechnikov",0.6475,0.3525,0.7957,0.42453,0.63208,0.76842,3,4,"moviles111"
"resumen_metricas.31312","modelo_knn - biweight",0.615,0.385,0.78495,0.39623,0.56604,0.74737,3,4,"moviles111"
"resumen_metricas.413","modelo_knn - triweight",0.5875,0.4125,0.74194,0.36792,0.54717,0.72632,3,4,"moviles111"
"resumen_metricas.513","modelo_knn - cos",0.64,0.36,0.7957,0.41509,0.62264,0.75789,3,4,"moviles111"
"resumen_metricas.613","modelo_knn - inv",0.685,0.315,0.89247,0.4717,0.65094,0.75789,3,4,"moviles111"
"resumen_metricas.713","modelo_knn - gaussian",0.6675,0.3325,0.84946,0.4434,0.65094,0.75789,3,4,"moviles111"
"resumen_metricas.813","modelo_knn - optimal",0.635,0.365,0.77419,0.40566,0.61321,0.77895,3,4,"moviles111"
"resumen_metricas1430","modelo_knn - rectangular",0.685,0.315,0.85294,0.46296,0.61905,0.84706,3,5,"moviles111"
"resumen_metricas.11414","modelo_knn - triangular",0.68,0.32,0.84314,0.5,0.6,0.81176,3,5,"moviles111"
"resumen_metricas.21412","modelo_knn - epanechnikov",0.6875,0.3125,0.83333,0.51852,0.61905,0.81176,3,5,"moviles111"
"resumen_metricas.31412","modelo_knn - biweight",0.6525,0.3475,0.82353,0.48148,0.5619,0.77647,3,5,"moviles111"
"resumen_metricas.414","modelo_knn - triweight",0.6175,0.3825,0.80392,0.46296,0.51429,0.71765,3,5,"moviles111"
"resumen_metricas.514","modelo_knn - cos",0.6775,0.3225,0.83333,0.5,0.6,0.81176,3,5,"moviles111"
"resumen_metricas.614","modelo_knn - inv",0.6825,0.3175,0.84314,0.47222,0.60952,0.84706,3,5,"moviles111"
"resumen_metricas.714","modelo_knn - gaussian",0.685,0.315,0.84314,0.49074,0.6,0.84706,3,5,"moviles111"
"resumen_metricas.814","modelo_knn - optimal",0.6775,0.3225,0.83333,0.49074,0.60952,0.81176,3,5,"moviles111"
"resumen_metricas1513","modelo_knn - rectangular",0.6275,0.3725,0.81373,0.50562,0.6,0.57798,1,1,"moviles112"
"resumen_metricas.1154","modelo_knn - triangular",0.6025,0.3975,0.7451,0.48315,0.58,0.58716,1,1,"moviles112"
"resumen_metricas.2152","modelo_knn - epanechnikov",0.6,0.4,0.7451,0.46067,0.59,0.58716,1,1,"moviles112"
"resumen_metricas.3152","modelo_knn - biweight",0.5675,0.4325,0.67647,0.41573,0.59,0.56881,1,1,"moviles112"
"resumen_metricas.415","modelo_knn - triweight",0.535,0.465,0.63725,0.39326,0.54,0.55046,1,1,"moviles112"
"resumen_metricas.515","modelo_knn - cos",0.5975,0.4025,0.73529,0.47191,0.58,0.58716,1,1,"moviles112"
"resumen_metricas.615","modelo_knn - inv",0.6275,0.3725,0.82353,0.48315,0.61,0.57798,1,1,"moviles112"
"resumen_metricas.715","modelo_knn - gaussian",0.5975,0.4025,0.76471,0.44944,0.6,0.55963,1,1,"moviles112"
"resumen_metricas.815","modelo_knn - optimal",0.6175,0.3825,0.76471,0.47191,0.6,0.61468,1,1,"moviles112"
"resumen_metricas1611","modelo_knn - rectangular",0.5825,0.4175,0.75269,0.40833,0.54902,0.68235,1,2,"moviles112"
"resumen_metricas.1162","modelo_knn - triangular",0.57,0.43,0.67742,0.44167,0.5,0.71765,1,2,"moviles112"
"resumen_metricas.2161","modelo_knn - epanechnikov",0.5775,0.4225,0.68817,0.45,0.5098,0.71765,1,2,"moviles112"
"resumen_metricas.3161","modelo_knn - biweight",0.535,0.465,0.65591,0.43333,0.40196,0.70588,1,2,"moviles112"
"resumen_metricas.416","modelo_knn - triweight",0.4975,0.5025,0.60215,0.4,0.38235,0.65882,1,2,"moviles112"
"resumen_metricas.516","modelo_knn - cos",0.5725,0.4275,0.67742,0.44167,0.5098,0.71765,1,2,"moviles112"
"resumen_metricas.616","modelo_knn - inv",0.5725,0.4275,0.75269,0.39167,0.52941,0.68235,1,2,"moviles112"
"resumen_metricas.716","modelo_knn - gaussian",0.575,0.425,0.76344,0.4,0.51961,0.68235,1,2,"moviles112"
"resumen_metricas.816","modelo_knn - optimal",0.565,0.435,0.68817,0.425,0.5098,0.69412,1,2,"moviles112"
"resumen_metricas2128","modelo_knn - rectangular",0.6125,0.3875,0.75728,0.47423,0.6087,0.60185,1,3,"moviles112"
"resumen_metricas.1218","modelo_knn - triangular",0.6,0.4,0.64078,0.49485,0.56522,0.68519,1,3,"moviles112"
"resumen_metricas.2216","modelo_knn - epanechnikov",0.6075,0.3925,0.6699,0.48454,0.57609,0.68519,1,3,"moviles112"
"resumen_metricas.3216","modelo_knn - biweight",0.5725,0.4275,0.59223,0.47423,0.55435,0.65741,1,3,"moviles112"
"resumen_metricas.421","modelo_knn - triweight",0.5425,0.4575,0.57282,0.42268,0.52174,0.63889,1,3,"moviles112"
"resumen_metricas.521","modelo_knn - cos",0.605,0.395,0.65049,0.49485,0.57609,0.68519,1,3,"moviles112"
"resumen_metricas.621","modelo_knn - inv",0.6075,0.3925,0.71845,0.45361,0.58696,0.65741,1,3,"moviles112"
"resumen_metricas.721","modelo_knn - gaussian",0.6225,0.3775,0.68932,0.52577,0.58696,0.67593,1,3,"moviles112"
"resumen_metricas.821","modelo_knn - optimal",0.595,0.405,0.65049,0.45361,0.55435,0.7037,1,3,"moviles112"
"resumen_metricas3120","modelo_knn - rectangular",0.6575,0.3425,0.74757,0.49485,0.60417,0.76923,1,4,"moviles112"
"resumen_metricas.1316","modelo_knn - triangular",0.6,0.4,0.67961,0.49485,0.46875,0.74038,1,4,"moviles112"
"resumen_metricas.2314","modelo_knn - epanechnikov",0.605,0.395,0.67961,0.49485,0.47917,0.75,1,4,"moviles112"
"resumen_metricas.3314","modelo_knn - biweight",0.5575,0.4425,0.63107,0.49485,0.38542,0.70192,1,4,"moviles112"
"resumen_metricas.431","modelo_knn - triweight",0.52,0.48,0.60194,0.50515,0.34375,0.61538,1,4,"moviles112"
"resumen_metricas.531","modelo_knn - cos",0.5975,0.4025,0.67961,0.50515,0.45833,0.73077,1,4,"moviles112"
"resumen_metricas.631","modelo_knn - inv",0.6475,0.3525,0.74757,0.52577,0.55208,0.75,1,4,"moviles112"
"resumen_metricas.731","modelo_knn - gaussian",0.6525,0.3475,0.7767,0.54639,0.52083,0.75,1,4,"moviles112"
"resumen_metricas.831","modelo_knn - optimal",0.605,0.395,0.68932,0.52577,0.44792,0.74038,1,4,"moviles112"
"resumen_metricas4120","modelo_knn - rectangular",0.6575,0.3425,0.81818,0.57732,0.52727,0.7234,1,5,"moviles112"
"resumen_metricas.1415","modelo_knn - triangular",0.63,0.37,0.80808,0.50515,0.48182,0.74468,1,5,"moviles112"
"resumen_metricas.2413","modelo_knn - epanechnikov",0.64,0.36,0.81818,0.51546,0.50909,0.73404,1,5,"moviles112"
"resumen_metricas.3413","modelo_knn - biweight",0.5825,0.4175,0.75758,0.46392,0.47273,0.64894,1,5,"moviles112"
"resumen_metricas.441","modelo_knn - triweight",0.54,0.46,0.70707,0.41237,0.44545,0.60638,1,5,"moviles112"
"resumen_metricas.541","modelo_knn - cos",0.6325,0.3675,0.80808,0.49485,0.5,0.74468,1,5,"moviles112"
"resumen_metricas.641","modelo_knn - inv",0.665,0.335,0.83838,0.60825,0.50909,0.7234,1,5,"moviles112"
"resumen_metricas.741","modelo_knn - gaussian",0.655,0.345,0.80808,0.5567,0.5,0.7766,1,5,"moviles112"
"resumen_metricas.841","modelo_knn - optimal",0.6225,0.3775,0.81818,0.46392,0.50909,0.71277,1,5,"moviles112"
"resumen_metricas5120","modelo_knn - rectangular",0.63,0.37,0.78652,0.51456,0.55856,0.69072,2,1,"moviles112"
"resumen_metricas.1515","modelo_knn - triangular",0.61,0.39,0.74157,0.51456,0.45946,0.76289,2,1,"moviles112"
"resumen_metricas.2513","modelo_knn - epanechnikov",0.6075,0.3925,0.75281,0.50485,0.45946,0.75258,2,1,"moviles112"
"resumen_metricas.3513","modelo_knn - biweight",0.57,0.43,0.67416,0.49515,0.42342,0.72165,2,1,"moviles112"
"resumen_metricas.451","modelo_knn - triweight",0.5275,0.4725,0.62921,0.43689,0.36036,0.72165,2,1,"moviles112"
"resumen_metricas.551","modelo_knn - cos",0.6125,0.3875,0.74157,0.51456,0.45946,0.7732,2,1,"moviles112"
"resumen_metricas.651","modelo_knn - inv",0.63,0.37,0.76404,0.51456,0.54955,0.72165,2,1,"moviles112"
"resumen_metricas.751","modelo_knn - gaussian",0.63,0.37,0.78652,0.52427,0.47748,0.7732,2,1,"moviles112"
"resumen_metricas.851","modelo_knn - optimal",0.605,0.395,0.74157,0.52427,0.45045,0.74227,2,1,"moviles112"
"resumen_metricas6120","modelo_knn - rectangular",0.62,0.38,0.8,0.50526,0.52941,0.63265,2,2,"moviles112"
"resumen_metricas.1615","modelo_knn - triangular",0.6175,0.3825,0.79048,0.50526,0.5098,0.65306,2,2,"moviles112"
"resumen_metricas.2613","modelo_knn - epanechnikov",0.6175,0.3825,0.79048,0.52632,0.5,0.64286,2,2,"moviles112"
"resumen_metricas.3613","modelo_knn - biweight",0.5875,0.4125,0.75238,0.46316,0.46078,0.66327,2,2,"moviles112"
"resumen_metricas.461","modelo_knn - triweight",0.57,0.43,0.71429,0.45263,0.44118,0.66327,2,2,"moviles112"
"resumen_metricas.561","modelo_knn - cos",0.615,0.385,0.79048,0.51579,0.5,0.64286,2,2,"moviles112"
"resumen_metricas.661","modelo_knn - inv",0.6225,0.3775,0.78095,0.52632,0.52941,0.64286,2,2,"moviles112"
"resumen_metricas.761","modelo_knn - gaussian",0.6125,0.3875,0.77143,0.50526,0.5098,0.65306,2,2,"moviles112"
"resumen_metricas.861","modelo_knn - optimal",0.605,0.395,0.7619,0.53684,0.48039,0.63265,2,2,"moviles112"
"resumen_metricas7120","modelo_knn - rectangular",0.61,0.39,0.67273,0.42268,0.67816,0.66038,2,3,"moviles112"
"resumen_metricas.1715","modelo_knn - triangular",0.6075,0.3925,0.66364,0.51546,0.55172,0.67925,2,3,"moviles112"
"resumen_metricas.2713","modelo_knn - epanechnikov",0.615,0.385,0.65455,0.52577,0.58621,0.67925,2,3,"moviles112"
"resumen_metricas.3713","modelo_knn - biweight",0.575,0.425,0.6,0.47423,0.52874,0.67925,2,3,"moviles112"
"resumen_metricas.471","modelo_knn - triweight",0.5075,0.4925,0.54545,0.45361,0.43678,0.57547,2,3,"moviles112"
"resumen_metricas.571","modelo_knn - cos",0.6125,0.3875,0.66364,0.52577,0.56322,0.67925,2,3,"moviles112"
"resumen_metricas.671","modelo_knn - inv",0.6025,0.3975,0.67273,0.43299,0.64368,0.65094,2,3,"moviles112"
"resumen_metricas.771","modelo_knn - gaussian",0.6225,0.3775,0.7,0.47423,0.63218,0.66981,2,3,"moviles112"
"resumen_metricas.871","modelo_knn - optimal",0.61,0.39,0.65455,0.50515,0.6092,0.66038,2,3,"moviles112"
"resumen_metricas8120","modelo_knn - rectangular",0.67,0.33,0.77551,0.53125,0.63366,0.73333,2,4,"moviles112"
"resumen_metricas.1815","modelo_knn - triangular",0.6325,0.3675,0.73469,0.4375,0.62376,0.72381,2,4,"moviles112"
"resumen_metricas.2813","modelo_knn - epanechnikov",0.63,0.37,0.72449,0.41667,0.63366,0.73333,2,4,"moviles112"
"resumen_metricas.3813","modelo_knn - biweight",0.5875,0.4125,0.71429,0.44792,0.53465,0.64762,2,4,"moviles112"
"resumen_metricas.481","modelo_knn - triweight",0.545,0.455,0.66327,0.35417,0.53465,0.61905,2,4,"moviles112"
"resumen_metricas.581","modelo_knn - cos",0.63,0.37,0.73469,0.42708,0.62376,0.72381,2,4,"moviles112"
"resumen_metricas.681","modelo_knn - inv",0.6825,0.3175,0.81633,0.5,0.66337,0.74286,2,4,"moviles112"
"resumen_metricas.781","modelo_knn - gaussian",0.6775,0.3225,0.80612,0.48958,0.64356,0.7619,2,4,"moviles112"
"resumen_metricas.881","modelo_knn - optimal",0.65,0.35,0.77551,0.44792,0.63366,0.73333,2,4,"moviles112"
"resumen_metricas9120","modelo_knn - rectangular",0.5875,0.4125,0.7551,0.40367,0.50505,0.71277,2,5,"moviles112"
