"","Modelo","overall_accuracy","overall_error","Factor_0_Accuracy","Factor_1_Accuracy","Factor_2_Accuracy","Factor_3_Accuracy","experimento","grupo","dataset"
"resumen_metricas120","modelo_arboles - Gini",0.78788,0.21212,0.95575,0.71,0.6087,0.84615,1,2,"moviles212"
"resumen_metricas.1120","modelo_arboles - information",0.80556,0.19444,0.95575,0.72,0.66304,0.85714,1,2,"moviles212"
"resumen_metricas210","modelo_arboles - Gini",0.7904,0.2096,0.89583,0.73913,0.69369,0.84536,1,3,"moviles212"
"resumen_metricas.1210","modelo_arboles - information",0.81061,0.18939,0.92708,0.73913,0.71171,0.87629,1,3,"moviles212"
"resumen_metricas37","modelo_arboles - Gini",0.79293,0.20707,0.87912,0.69231,0.7732,0.83654,1,4,"moviles212"
"resumen_metricas.137","modelo_arboles - information",0.78788,0.21212,0.92308,0.69231,0.64948,0.89423,1,4,"moviles212"
"resumen_metricas47","modelo_arboles - Gini",0.82071,0.17929,0.9434,0.65957,0.86458,0.8,1,5,"moviles212"
"resumen_metricas.147","modelo_arboles - information",0.81313,0.18687,0.96226,0.64894,0.72917,0.89,1,5,"moviles212"
"resumen_metricas57","modelo_arboles - Gini",0.80051,0.19949,0.97778,0.76289,0.64762,0.83654,2,1,"moviles212"
"resumen_metricas.157","modelo_arboles - information",0.80303,0.19697,0.97778,0.68041,0.72381,0.84615,2,1,"moviles212"
"resumen_metricas67","modelo_arboles - Gini",0.7702,0.2298,0.97938,0.64211,0.64151,0.82653,2,2,"moviles212"
