"","Modelo","overall_accuracy","overall_error","Factor_0_Accuracy","Factor_1_Accuracy","Factor_2_Accuracy","Factor_3_Accuracy","Detalle_1","experimento","grupo","dataset"
"resumen_metricas121","modelo_arboles - Gini",0.765,0.235,0.90909,0.65714,0.70588,0.80952,"minsplit=2",3,3,"moviles112"
"resumen_metricas.1121","modelo_arboles - information",0.74,0.26,0.92045,0.55238,0.67647,0.8381,"minsplit=2",3,3,"moviles112"
"resumen_metricas131","modelo_arboles - Gini",0.79,0.21,0.90816,0.72642,0.69318,0.82407,"minsplit=2",3,4,"moviles112"
"resumen_metricas.1131","modelo_arboles - information",0.8025,0.1975,0.92857,0.71698,0.72727,0.83333,"minsplit=2",3,4,"moviles112"
"resumen_metricas141","modelo_arboles - Gini",0.8125,0.1875,0.93204,0.8022,0.74528,0.77,"minsplit=2",3,5,"moviles112"
"resumen_metricas.1141","modelo_arboles - information",0.82,0.18,0.90291,0.8022,0.72642,0.85,"minsplit=2",3,5,"moviles112"
"resumen_metricas17","modelo_arboles - Gini",0.7925,0.2075,0.93333,0.67708,0.68817,0.84906,"minsplit=2",1,1,"moviles121"
"resumen_metricas.117","modelo_arboles - information",0.8025,0.1975,0.95238,0.66667,0.72043,0.84906,"minsplit=2",1,1,"moviles121"
"resumen_metricas18","modelo_arboles - Gini",0.8075,0.1925,0.92632,0.72826,0.66667,0.89474,"minsplit=2",1,2,"moviles121"
"resumen_metricas.118","modelo_arboles - information",0.81,0.19,0.95789,0.67391,0.69697,0.89474,"minsplit=2",1,2,"moviles121"
"resumen_metricas22","modelo_arboles - Gini",0.795,0.205,0.90323,0.68807,0.84404,0.75281,"minsplit=2",1,3,"moviles121"
"resumen_metricas.122","modelo_arboles - information",0.79,0.21,0.90323,0.6422,0.83486,0.79775,"minsplit=2",1,3,"moviles121"
"resumen_metricas32","modelo_arboles - Gini",0.835,0.165,0.95238,0.78704,0.69388,0.91011,"minsplit=2",1,4,"moviles121"
"resumen_metricas.132","modelo_arboles - information",0.8075,0.1925,0.95238,0.67593,0.72449,0.88764,"minsplit=2",1,4,"moviles121"
"resumen_metricas42","modelo_arboles - Gini",0.7925,0.2075,0.95098,0.70526,0.66337,0.84314,"minsplit=2",1,5,"moviles121"
"resumen_metricas.142","modelo_arboles - information",0.765,0.235,0.97059,0.56842,0.66337,0.84314,"minsplit=2",1,5,"moviles121"
"resumen_metricas52","modelo_arboles - Gini",0.795,0.205,0.93519,0.70707,0.67647,0.85714,"minsplit=2",2,1,"moviles121"
"resumen_metricas.152","modelo_arboles - information",0.8025,0.1975,0.94444,0.65657,0.7451,0.85714,"minsplit=2",2,1,"moviles121"
"resumen_metricas62","modelo_arboles - Gini",0.7625,0.2375,0.94505,0.625,0.67,0.84536,"minsplit=2",2,2,"moviles121"
"resumen_metricas.162","modelo_arboles - information",0.8,0.2,0.97802,0.64286,0.74,0.87629,"minsplit=2",2,2,"moviles121"
