"","Modelo","overall_accuracy","overall_error","Factor_0_Accuracy","Factor_1_Accuracy","Factor_2_Accuracy","Factor_3_Accuracy","Detalle_1","experimento","grupo","dataset"
"resumen_metricas1055","modelo_XGBoosting - No_kernel",0.915,0.085,0.95146,0.91589,0.88421,0.90526,"detalle_1",3,1,"moviles132"
"resumen_metricas1175","modelo_XGBoosting - No_kernel",0.9025,0.0975,0.96429,0.85057,0.8617,0.91589,"detalle_1",3,2,"moviles132"
"resumen_metricas1255","modelo_XGBoosting - No_kernel",0.9175,0.0825,0.92727,0.92,0.90476,0.91765,"detalle_1",3,3,"moviles132"
"resumen_metricas1355","modelo_XGBoosting - No_kernel",0.9125,0.0875,0.93976,0.87736,0.9,0.93694,"detalle_1",3,4,"moviles132"
"resumen_metricas1455","modelo_XGBoosting - No_kernel",0.885,0.115,0.94565,0.85,0.84906,0.90196,"detalle_1",3,5,"moviles132"
"resumen_metricas275","modelo_XGBoosting - No_kernel",0.90909,0.09091,0.96512,0.84694,0.91071,0.92,"detalle_1",1,1,"moviles211"
"resumen_metricas1185","modelo_XGBoosting - No_kernel",0.91667,0.08333,0.9619,0.89474,0.875,0.93,"detalle_1",1,2,"moviles211"
"resumen_metricas285","modelo_XGBoosting - No_kernel",0.91667,0.08333,0.98958,0.87963,0.86735,0.93617,"detalle_1",1,3,"moviles211"
"resumen_metricas365","modelo_XGBoosting - No_kernel",0.92172,0.07828,0.96226,0.88889,0.8617,0.96226,"detalle_1",1,4,"moviles211"
"resumen_metricas465","modelo_XGBoosting - No_kernel",0.91162,0.08838,0.95146,0.91346,0.89583,0.88172,"detalle_1",1,5,"moviles211"
"resumen_metricas565","modelo_XGBoosting - No_kernel",0.91919,0.08081,0.97248,0.91011,0.84112,0.95604,"detalle_1",2,1,"moviles211"
"resumen_metricas665","modelo_XGBoosting - No_kernel",0.90657,0.09343,0.96739,0.86275,0.89362,0.90741,"detalle_1",2,2,"moviles211"
"resumen_metricas765","modelo_XGBoosting - No_kernel",0.90657,0.09343,0.95098,0.91228,0.89773,0.8587,"detalle_1",2,3,"moviles211"
"resumen_metricas865","modelo_XGBoosting - No_kernel",0.90152,0.09848,0.96591,0.83838,0.89216,0.91589,"detalle_1",2,4,"moviles211"
"resumen_metricas965","modelo_XGBoosting - No_kernel",0.93687,0.06313,0.94286,0.92308,0.90476,0.97895,"detalle_1",2,5,"moviles211"
"resumen_metricas1065","modelo_XGBoosting - No_kernel",0.89646,0.10354,0.95876,0.87879,0.84906,0.90426,"detalle_1",3,1,"moviles211"
"resumen_metricas1195","modelo_XGBoosting - No_kernel",0.91414,0.08586,0.92381,0.91837,0.87755,0.93684,"detalle_1",3,2,"moviles211"
"resumen_metricas1265","modelo_XGBoosting - No_kernel",0.90152,0.09848,0.95098,0.91765,0.89,0.85321,"detalle_1",3,3,"moviles211"
"resumen_metricas1365","modelo_XGBoosting - No_kernel",0.91667,0.08333,0.94,0.87273,0.9,0.95833,"detalle_1",3,4,"moviles211"
"resumen_metricas1465","modelo_XGBoosting - No_kernel",0.92424,0.07576,0.97826,0.93204,0.88235,0.90909,"detalle_1",3,5,"moviles211"
"resumen_metricas295","modelo_XGBoosting - No_kernel",0.90404,0.09596,0.97778,0.86316,0.88235,0.89908,"detalle_1",1,1,"moviles212"
"resumen_metricas1205","modelo_XGBoosting - No_kernel",0.91919,0.08081,0.96667,0.92523,0.86957,0.91589,"detalle_1",1,2,"moviles212"
"resumen_metricas2105","modelo_XGBoosting - No_kernel",0.90404,0.09596,0.9633,0.8617,0.87719,0.91139,"detalle_1",1,3,"moviles212"
"resumen_metricas375","modelo_XGBoosting - No_kernel",0.92424,0.07576,0.93939,0.90291,0.90217,0.95098,"detalle_1",1,4,"moviles212"
"resumen_metricas475","modelo_XGBoosting - No_kernel",0.92172,0.07828,0.94444,0.89583,0.88542,0.95833,"detalle_1",1,5,"moviles212"
"resumen_metricas575","modelo_XGBoosting - No_kernel",0.89394,0.10606,0.96262,0.87755,0.85567,0.87234,"detalle_1",2,1,"moviles212"
"resumen_metricas675","modelo_XGBoosting - No_kernel",0.91667,0.08333,0.94444,0.89899,0.8932,0.93023,"detalle_1",2,2,"moviles212"
"resumen_metricas775","modelo_XGBoosting - No_kernel",0.91414,0.08586,0.96739,0.88298,0.85567,0.9469,"detalle_1",2,3,"moviles212"
"resumen_metricas875","modelo_XGBoosting - No_kernel",0.88889,0.11111,0.91753,0.89,0.79592,0.9505,"detalle_1",2,4,"moviles212"
"resumen_metricas975","modelo_XGBoosting - No_kernel",0.90657,0.09343,0.96739,0.89423,0.91089,0.85859,"detalle_1",2,5,"moviles212"
"resumen_metricas1075","modelo_XGBoosting - No_kernel",0.93182,0.06818,0.93204,0.9375,0.9,0.95876,"detalle_1",3,1,"moviles212"
"resumen_metricas11105","modelo_XGBoosting - No_kernel",0.92424,0.07576,0.97753,0.89691,0.88,0.94545,"detalle_1",3,2,"moviles212"
"resumen_metricas1275","modelo_XGBoosting - No_kernel",0.89899,0.10101,0.93137,0.92553,0.80412,0.93204,"detalle_1",3,3,"moviles212"
"resumen_metricas1375","modelo_XGBoosting - No_kernel",0.89646,0.10354,0.9596,0.85849,0.89109,0.87778,"detalle_1",3,4,"moviles212"
"resumen_metricas1475","modelo_XGBoosting - No_kernel",0.92677,0.07323,0.96117,0.93137,0.89796,0.91398,"detalle_1",3,5,"moviles212"
"resumen_metricas305","modelo_XGBoosting - No_kernel",0.90152,0.09848,0.92857,0.91346,0.875,0.88776,"detalle_1",1,1,"moviles221"
"resumen_metricas1285","modelo_XGBoosting - No_kernel",0.90404,0.09596,0.94393,0.88542,0.8617,0.91919,"detalle_1",1,2,"moviles221"
"resumen_metricas2117","modelo_XGBoosting - No_kernel",0.91162,0.08838,0.98039,0.92553,0.81905,0.92632,"detalle_1",1,3,"moviles221"
"resumen_metricas385","modelo_XGBoosting - No_kernel",0.89899,0.10101,0.96552,0.83871,0.85981,0.93578,"detalle_1",1,4,"moviles221"
"resumen_metricas485","modelo_XGBoosting - No_kernel",0.90909,0.09091,0.89216,0.92593,0.88298,0.93478,"detalle_1",1,5,"moviles221"
"resumen_metricas585","modelo_XGBoosting - No_kernel",0.90657,0.09343,0.95098,0.8875,0.89474,0.89,"detalle_1",2,1,"moviles221"
"resumen_metricas685","modelo_XGBoosting - No_kernel",0.90657,0.09343,0.9697,0.88288,0.84848,0.93103,"detalle_1",2,2,"moviles221"
"resumen_metricas785","modelo_XGBoosting - No_kernel",0.89646,0.10354,0.93519,0.8866,0.81915,0.93814,"detalle_1",2,3,"moviles221"
"resumen_metricas885","modelo_XGBoosting - No_kernel",0.91162,0.08838,0.92632,0.84404,0.90217,0.98,"detalle_1",2,4,"moviles221"
"resumen_metricas985","modelo_XGBoosting - No_kernel",0.90152,0.09848,0.95652,0.90816,0.86598,0.88073,"detalle_1",2,5,"moviles221"
"resumen_metricas1085","modelo_XGBoosting - No_kernel",0.89141,0.10859,0.93636,0.91111,0.81188,0.90526,"detalle_1",3,1,"moviles221"
"resumen_metricas11117","modelo_XGBoosting - No_kernel",0.90909,0.09091,0.94505,0.90099,0.89216,0.90196,"detalle_1",3,2,"moviles221"
"resumen_metricas1295","modelo_XGBoosting - No_kernel",0.92424,0.07576,0.99,0.86869,0.87,0.96907,"detalle_1",3,3,"moviles221"
"resumen_metricas1385","modelo_XGBoosting - No_kernel",0.90657,0.09343,0.95556,0.90385,0.85149,0.92079,"detalle_1",3,4,"moviles221"
"resumen_metricas1485","modelo_XGBoosting - No_kernel",0.89899,0.10101,0.94286,0.85149,0.88043,0.91837,"detalle_1",3,5,"moviles221"
"resumen_metricas395","modelo_XGBoosting - No_kernel",0.91667,0.08333,0.92233,0.92381,0.87368,0.94624,"detalle_1",1,1,"moviles222"
"resumen_metricas1305","modelo_XGBoosting - No_kernel",0.89899,0.10101,0.94898,0.86139,0.87368,0.91176,"detalle_1",1,2,"moviles222"
"resumen_metricas2125","modelo_XGBoosting - No_kernel",0.89646,0.10354,0.93939,0.84071,0.93407,0.88172,"detalle_1",1,3,"moviles222"
"resumen_metricas3105","modelo_XGBoosting - No_kernel",0.91162,0.08838,1,0.90476,0.81416,0.93617,"detalle_1",1,4,"moviles222"
"resumen_metricas495","modelo_XGBoosting - No_kernel",0.90404,0.09596,0.93407,0.8913,0.85294,0.93694,"detalle_1",1,5,"moviles222"
"resumen_metricas595","modelo_XGBoosting - No_kernel",0.91667,0.08333,0.98876,0.8381,0.88542,0.96226,"detalle_1",2,1,"moviles222"
"resumen_metricas695","modelo_XGBoosting - No_kernel",0.91919,0.08081,0.96262,0.90625,0.85714,0.94118,"detalle_1",2,2,"moviles222"
"resumen_metricas795","modelo_XGBoosting - No_kernel",0.90909,0.09091,0.94845,0.91304,0.83654,0.94175,"detalle_1",2,3,"moviles222"
"resumen_metricas895","modelo_XGBoosting - No_kernel",0.90657,0.09343,0.96939,0.89286,0.875,0.88889,"detalle_1",2,4,"moviles222"
"resumen_metricas995","modelo_XGBoosting - No_kernel",0.88636,0.11364,0.90476,0.86667,0.88073,0.8913,"detalle_1",2,5,"moviles222"
"resumen_metricas1095","modelo_XGBoosting - No_kernel",0.91414,0.08586,0.94444,0.87379,0.92381,0.91837,"detalle_1",3,1,"moviles222"
"resumen_metricas11125","modelo_XGBoosting - No_kernel",0.89646,0.10354,0.90385,0.88095,0.88889,0.91,"detalle_1",3,2,"moviles222"
"resumen_metricas12105","modelo_XGBoosting - No_kernel",0.92677,0.07323,0.97959,0.89247,0.87156,0.96875,"detalle_1",3,3,"moviles222"
"resumen_metricas1395","modelo_XGBoosting - No_kernel",0.89141,0.10859,0.95413,0.85437,0.79487,0.93396,"detalle_1",3,4,"moviles222"
"resumen_metricas1495","modelo_XGBoosting - No_kernel",0.88636,0.11364,0.98947,0.83036,0.875,0.86022,"detalle_1",3,5,"moviles222"
"resumen_metricas405","modelo_XGBoosting - No_kernel",0.90404,0.09596,0.96667,0.89,0.85294,0.91346,"detalle_1",1,1,"moviles231"
"resumen_metricas1405","modelo_XGBoosting - No_kernel",0.90909,0.09091,0.93519,0.84848,0.91919,0.93333,"detalle_1",1,2,"moviles231"
"resumen_metricas2135","modelo_XGBoosting - No_kernel",0.89646,0.10354,0.93407,0.91304,0.85849,0.88785,"detalle_1",1,3,"moviles231"
"resumen_metricas3116","modelo_XGBoosting - No_kernel",0.92424,0.07576,0.96429,0.91176,0.85366,0.95,"detalle_1",1,4,"moviles231"
"resumen_metricas4105","modelo_XGBoosting - No_kernel",0.90657,0.09343,0.96842,0.88235,0.85047,0.93478,"detalle_1",1,5,"moviles231"
"resumen_metricas5105","modelo_XGBoosting - No_kernel",0.89394,0.10606,0.93939,0.83673,0.84694,0.9505,"detalle_1",2,1,"moviles231"
"resumen_metricas6105","modelo_XGBoosting - No_kernel",0.91667,0.08333,0.95876,0.88462,0.89524,0.93333,"detalle_1",2,2,"moviles231"
"resumen_metricas7105","modelo_XGBoosting - No_kernel",0.93182,0.06818,0.97196,0.91837,0.88462,0.95402,"detalle_1",2,3,"moviles231"
"resumen_metricas8105","modelo_XGBoosting - No_kernel",0.91414,0.08586,0.94,0.9,0.85556,0.95283,"detalle_1",2,4,"moviles231"
"resumen_metricas9105","modelo_XGBoosting - No_kernel",0.89646,0.10354,0.95699,0.88421,0.85859,0.88991,"detalle_1",2,5,"moviles231"
"resumen_metricas10105","modelo_XGBoosting - No_kernel",0.92172,0.07828,0.91753,0.93069,0.91346,0.92553,"detalle_1",3,1,"moviles231"
"resumen_metricas11135","modelo_XGBoosting - No_kernel",0.90152,0.09848,0.93396,0.95122,0.77143,0.96117,"detalle_1",3,2,"moviles231"
"resumen_metricas12116","modelo_XGBoosting - No_kernel",0.89646,0.10354,0.96429,0.85841,0.9375,0.84466,"detalle_1",3,3,"moviles231"
"resumen_metricas13105","modelo_XGBoosting - No_kernel",0.93434,0.06566,0.94495,0.94382,0.90909,0.93939,"detalle_1",3,4,"moviles231"
"resumen_metricas14105","modelo_XGBoosting - No_kernel",0.89646,0.10354,0.95,0.85455,0.84783,0.93617,"detalle_1",3,5,"moviles231"
"resumen_metricas505","modelo_XGBoosting - No_kernel",0.89646,0.10354,0.96396,0.81818,0.84314,0.94737,"detalle_1",1,1,"moviles232"
"resumen_metricas1505","modelo_XGBoosting - No_kernel",0.89141,0.10859,0.92381,0.92,0.80851,0.90722,"detalle_1",1,2,"moviles232"
"resumen_metricas2145","modelo_XGBoosting - No_kernel",0.89899,0.10101,0.94949,0.88288,0.85,0.9186,"detalle_1",1,3,"moviles232"
"resumen_metricas3125","modelo_XGBoosting - No_kernel",0.91919,0.08081,0.97674,0.90426,0.88,0.92241,"detalle_1",1,4,"moviles232"
"resumen_metricas4115","modelo_XGBoosting - No_kernel",0.90657,0.09343,0.95789,0.88235,0.89,0.89899,"detalle_1",1,5,"moviles232"
"resumen_metricas5115","modelo_XGBoosting - No_kernel",0.86869,0.13131,0.96667,0.77982,0.85294,0.89474,"detalle_1",2,1,"moviles232"
"resumen_metricas6115","modelo_XGBoosting - No_kernel",0.92929,0.07071,0.94545,0.93976,0.9,0.93204,"detalle_1",2,2,"moviles232"
"resumen_metricas7115","modelo_XGBoosting - No_kernel",0.90657,0.09343,0.96667,0.90435,0.85417,0.90526,"detalle_1",2,3,"moviles232"
"resumen_metricas8115","modelo_XGBoosting - No_kernel",0.89141,0.10859,0.93878,0.90588,0.79817,0.93269,"detalle_1",2,4,"moviles232"
"resumen_metricas9115","modelo_XGBoosting - No_kernel",0.90909,0.09091,0.94444,0.86408,0.8764,0.94792,"detalle_1",2,5,"moviles232"
"resumen_metricas10115","modelo_XGBoosting - No_kernel",0.90909,0.09091,0.97959,0.91304,0.84259,0.90816,"detalle_1",3,1,"moviles232"
"resumen_metricas11145","modelo_XGBoosting - No_kernel",0.90909,0.09091,0.97778,0.90265,0.87,0.89247,"detalle_1",3,2,"moviles232"
"resumen_metricas12125","modelo_XGBoosting - No_kernel",0.93182,0.06818,0.9703,0.89412,0.89899,0.95495,"detalle_1",3,3,"moviles232"
"resumen_metricas13115","modelo_XGBoosting - No_kernel",0.89394,0.10606,0.92523,0.8381,0.87879,0.94118,"detalle_1",3,4,"moviles232"
"resumen_metricas14115","modelo_XGBoosting - No_kernel",0.89141,0.10859,0.93,0.82,0.9,0.91509,"detalle_1",3,5,"moviles232"
"resumen_metricas160","modelo_reg_log_lasso - No_kernel",0.97,0.03,1,0.97753,0.93396,0.96939,"detalle_1",1,1,"moviles111"
"resumen_metricas166","modelo_reg_log_lasso - No_kernel",0.985,0.015,0.9901,0.9759,0.98333,0.98958,"detalle_1",1,2,"moviles111"
"resumen_metricas227","modelo_reg_log_lasso - No_kernel",0.98,0.02,0.99048,0.9604,0.9802,0.98925,"detalle_1",1,3,"moviles111"
"resumen_metricas326","modelo_reg_log_lasso - No_kernel",0.9525,0.0475,0.9798,0.92982,0.92593,0.9717,"detalle_1",1,4,"moviles111"
"resumen_metricas426","modelo_reg_log_lasso - No_kernel",0.9825,0.0175,0.98864,0.97345,0.97826,0.99065,"detalle_1",1,5,"moviles111"
"resumen_metricas526","modelo_reg_log_lasso - No_kernel",0.9575,0.0425,0.98039,0.9697,0.90816,0.9703,"detalle_1",2,1,"moviles111"
"resumen_metricas626","modelo_reg_log_lasso - No_kernel",0.975,0.025,0.96667,0.98148,0.96078,0.99,"detalle_1",2,2,"moviles111"
"resumen_metricas726","modelo_reg_log_lasso - No_kernel",0.9875,0.0125,1,0.97849,0.99083,0.98039,"detalle_1",2,3,"moviles111"
"resumen_metricas826","modelo_reg_log_lasso - No_kernel",0.975,0.025,0.99091,0.95876,0.9703,0.97826,"detalle_1",2,4,"moviles111"
"resumen_metricas926","modelo_reg_log_lasso - No_kernel",0.98,0.02,0.98039,0.96117,0.98889,0.99048,"detalle_1",2,5,"moviles111"
"resumen_metricas1026","modelo_reg_log_lasso - No_kernel",0.9725,0.0275,0.97273,0.9596,0.97917,0.97895,"detalle_1",3,1,"moviles111"
"resumen_metricas1127","modelo_reg_log_lasso - No_kernel",0.9625,0.0375,0.98889,0.94949,0.9386,0.97938,"detalle_1",3,2,"moviles111"
"resumen_metricas1226","modelo_reg_log_lasso - No_kernel",0.99,0.01,1,1,0.96809,0.99138,"detalle_1",3,3,"moviles111"
"resumen_metricas1326","modelo_reg_log_lasso - No_kernel",0.9775,0.0225,0.98148,0.98958,0.9434,1,"detalle_1",3,4,"moviles111"
"resumen_metricas1426","modelo_reg_log_lasso - No_kernel",0.97,0.03,1,0.9469,0.96667,0.97059,"detalle_1",3,5,"moviles111"
"resumen_metricas1511","modelo_reg_log_lasso - No_kernel",0.9825,0.0175,1,0.97196,0.97727,0.97959,"detalle_1",1,1,"moviles112"
"resumen_metricas167","modelo_reg_log_lasso - No_kernel",0.9625,0.0375,0.9902,0.93548,0.9596,0.96226,"detalle_1",1,2,"moviles112"
"resumen_metricas2118","modelo_reg_log_lasso - No_kernel",0.96,0.04,0.9902,0.9633,0.90323,0.97917,"detalle_1",1,3,"moviles112"
"resumen_metricas3117","modelo_reg_log_lasso - No_kernel",0.9775,0.0225,1,0.97087,0.97059,0.97087,"detalle_1",1,4,"moviles112"
"resumen_metricas4116","modelo_reg_log_lasso - No_kernel",0.9725,0.0275,0.96907,0.96591,0.9661,0.98969,"detalle_1",1,5,"moviles112"
"resumen_metricas5116","modelo_reg_log_lasso - No_kernel",0.97,0.03,0.98947,0.96875,0.9604,0.96296,"detalle_1",2,1,"moviles112"
"resumen_metricas6116","modelo_reg_log_lasso - No_kernel",0.97,0.03,0.99057,0.95833,0.96667,0.96296,"detalle_1",2,2,"moviles112"
"resumen_metricas7116","modelo_reg_log_lasso - No_kernel",0.97,0.03,0.96774,0.97,0.96396,0.97917,"detalle_1",2,3,"moviles112"
"resumen_metricas8116","modelo_reg_log_lasso - No_kernel",0.9725,0.0275,0.98165,0.94118,0.97196,1,"detalle_1",2,4,"moviles112"
"resumen_metricas9116","modelo_reg_log_lasso - No_kernel",0.97,0.03,0.97938,0.95283,0.95604,0.99057,"detalle_1",2,5,"moviles112"
"resumen_metricas10116","modelo_reg_log_lasso - No_kernel",0.97,0.03,1,0.98182,0.94393,0.95789,"detalle_1",3,1,"moviles112"
"resumen_metricas11118","modelo_reg_log_lasso - No_kernel",0.9725,0.0275,1,0.97938,0.93269,0.98058,"detalle_1",3,2,"moviles112"
"resumen_metricas12117","modelo_reg_log_lasso - No_kernel",0.9775,0.0225,0.97458,0.96667,0.96703,1,"detalle_1",3,3,"moviles112"
"resumen_metricas13116","modelo_reg_log_lasso - No_kernel",0.9675,0.0325,0.98851,0.94495,0.9619,0.9798,"detalle_1",3,4,"moviles112"
"resumen_metricas14116","modelo_reg_log_lasso - No_kernel",0.965,0.035,1,0.92553,0.95699,0.97059,"detalle_1",3,5,"moviles112"
"resumen_metricas176","modelo_reg_log_lasso - No_kernel",0.9775,0.0225,0.97222,0.97248,0.96552,1,"detalle_1",1,1,"moviles121"
"resumen_metricas186","modelo_reg_log_lasso - No_kernel",0.9775,0.0225,1,0.96774,0.98214,0.96364,"detalle_1",1,2,"moviles121"
"resumen_metricas228","modelo_reg_log_lasso - No_kernel",0.9775,0.0225,0.99107,0.96703,0.96491,0.98795,"detalle_1",1,3,"moviles121"
"resumen_metricas327","modelo_reg_log_lasso - No_kernel",0.9775,0.0225,0.96739,0.98198,0.98,0.97938,"detalle_1",1,4,"moviles121"
"resumen_metricas427","modelo_reg_log_lasso - No_kernel",0.96,0.04,0.98058,0.94792,0.90805,0.99123,"detalle_1",1,5,"moviles121"
"resumen_metricas527","modelo_reg_log_lasso - No_kernel",0.9675,0.0325,1,0.95283,0.94845,0.96739,"detalle_1",2,1,"moviles121"
"resumen_metricas627","modelo_reg_log_lasso - No_kernel",0.9725,0.0275,0.98,0.9703,0.96512,0.97345,"detalle_1",2,2,"moviles121"
"resumen_metricas727","modelo_reg_log_lasso - No_kernel",0.9775,0.0225,0.99065,0.97895,0.94495,1,"detalle_1",2,3,"moviles121"
"resumen_metricas827","modelo_reg_log_lasso - No_kernel",0.965,0.035,0.9798,0.96226,0.93548,0.98039,"detalle_1",2,4,"moviles121"
"resumen_metricas927","modelo_reg_log_lasso - No_kernel",0.9875,0.0125,1,0.97826,0.98261,0.99038,"detalle_1",2,5,"moviles121"
"resumen_metricas1027","modelo_reg_log_lasso - No_kernel",0.97,0.03,1,0.94118,0.93684,1,"detalle_1",3,1,"moviles121"
"resumen_metricas1128","modelo_reg_log_lasso - No_kernel",0.9725,0.0275,0.99065,0.94565,0.94898,1,"detalle_1",3,2,"moviles121"
"resumen_metricas1227","modelo_reg_log_lasso - No_kernel",0.9725,0.0275,0.98131,0.98058,0.94737,0.97895,"detalle_1",3,3,"moviles121"
"resumen_metricas1327","modelo_reg_log_lasso - No_kernel",0.9725,0.0275,0.9901,0.97,0.97368,0.95294,"detalle_1",3,4,"moviles121"
"resumen_metricas1427","modelo_reg_log_lasso - No_kernel",0.9725,0.0275,0.97895,0.97087,0.97959,0.96154,"detalle_1",3,5,"moviles121"
"resumen_metricas196","modelo_reg_log_lasso - No_kernel",0.97,0.03,1,0.94624,0.95413,0.98148,"detalle_1",1,1,"moviles122"
"resumen_metricas1106","modelo_reg_log_lasso - No_kernel",0.97,0.03,1,0.97059,0.93396,0.97647,"detalle_1",1,2,"moviles122"
"resumen_metricas236","modelo_reg_log_lasso - No_kernel",0.965,0.035,0.96875,0.94643,0.95294,0.99065,"detalle_1",1,3,"moviles122"
"resumen_metricas336","modelo_reg_log_lasso - No_kernel",0.985,0.015,0.99074,0.98889,0.97849,0.98165,"detalle_1",1,4,"moviles122"
"resumen_metricas436","modelo_reg_log_lasso - No_kernel",0.9675,0.0325,1,0.94175,0.97196,0.95604,"detalle_1",1,5,"moviles122"
"resumen_metricas536","modelo_reg_log_lasso - No_kernel",0.9825,0.0175,1,0.97959,0.94565,1,"detalle_1",2,1,"moviles122"
"resumen_metricas636","modelo_reg_log_lasso - No_kernel",0.96,0.04,1,0.93939,0.93396,0.97087,"detalle_1",2,2,"moviles122"
"resumen_metricas736","modelo_reg_log_lasso - No_kernel",0.9625,0.0375,0.9798,0.92233,0.97143,0.97849,"detalle_1",2,3,"moviles122"
"resumen_metricas836","modelo_reg_log_lasso - No_kernel",0.9775,0.0225,0.98113,0.95652,1,0.96875,"detalle_1",2,4,"moviles122"
"resumen_metricas936","modelo_reg_log_lasso - No_kernel",0.9725,0.0275,0.95495,0.98148,0.97802,0.97778,"detalle_1",2,5,"moviles122"
"resumen_metricas1036","modelo_reg_log_lasso - No_kernel",0.9625,0.0375,0.98095,0.98889,0.90826,0.97917,"detalle_1",3,1,"moviles122"
"resumen_metricas1136","modelo_reg_log_lasso - No_kernel",0.9825,0.0175,1,0.96875,0.97196,0.9899,"detalle_1",3,2,"moviles122"
"resumen_metricas1236","modelo_reg_log_lasso - No_kernel",0.955,0.045,0.96875,0.9322,0.94253,0.9798,"detalle_1",3,3,"moviles122"
"resumen_metricas1336","modelo_reg_log_lasso - No_kernel",0.9775,0.0225,1,0.9375,0.97059,1,"detalle_1",3,4,"moviles122"
"resumen_metricas1436","modelo_reg_log_lasso - No_kernel",0.975,0.025,0.99,0.95,0.98947,0.97143,"detalle_1",3,5,"moviles122"
"resumen_metricas206","modelo_reg_log_lasso - No_kernel",0.98,0.02,1,0.95789,0.95652,1,"detalle_1",1,1,"moviles131"
"resumen_metricas1146","modelo_reg_log_lasso - No_kernel",0.9775,0.0225,0.9902,0.97,0.99,0.95918,"detalle_1",1,2,"moviles131"
"resumen_metricas246","modelo_reg_log_lasso - No_kernel",0.9675,0.0325,0.96809,0.95146,0.97087,0.98,"detalle_1",1,3,"moviles131"
"resumen_metricas346","modelo_reg_log_lasso - No_kernel",0.9675,0.0325,0.98,0.95,0.9537,0.98913,"detalle_1",1,4,"moviles131"
"resumen_metricas446","modelo_reg_log_lasso - No_kernel",0.9775,0.0225,0.97938,0.97059,0.97938,0.98077,"detalle_1",1,5,"moviles131"
"resumen_metricas546","modelo_reg_log_lasso - No_kernel",0.9675,0.0325,0.98039,0.95699,0.9697,0.96226,"detalle_1",2,1,"moviles131"
"resumen_metricas646","modelo_reg_log_lasso - No_kernel",0.965,0.035,0.99065,0.93103,1,0.94565,"detalle_1",2,2,"moviles131"
"resumen_metricas746","modelo_reg_log_lasso - No_kernel",0.9775,0.0225,0.99083,1,0.92,1,"detalle_1",2,3,"moviles131"
"resumen_metricas846","modelo_reg_log_lasso - No_kernel",0.98,0.02,0.98969,0.98889,0.94915,1,"detalle_1",2,4,"moviles131"
"resumen_metricas946","modelo_reg_log_lasso - No_kernel",0.9725,0.0275,0.98824,0.93069,0.9898,0.98276,"detalle_1",2,5,"moviles131"
"resumen_metricas1046","modelo_reg_log_lasso - No_kernel",0.97,0.03,1,0.94898,0.94949,0.98131,"detalle_1",3,1,"moviles131"
"resumen_metricas1156","modelo_reg_log_lasso - No_kernel",0.97,0.03,0.97917,0.9703,0.95327,0.97917,"detalle_1",3,2,"moviles131"
"resumen_metricas1246","modelo_reg_log_lasso - No_kernel",0.975,0.025,0.97,0.9759,0.9798,0.97458,"detalle_1",3,3,"moviles131"
"resumen_metricas1346","modelo_reg_log_lasso - No_kernel",0.9725,0.0275,1,0.94643,0.96875,0.97701,"detalle_1",3,4,"moviles131"
"resumen_metricas1446","modelo_reg_log_lasso - No_kernel",0.98,0.02,0.99029,0.96226,0.9798,0.98913,"detalle_1",3,5,"moviles131"
"resumen_metricas256","modelo_reg_log_lasso - No_kernel",0.97,0.03,0.96939,0.95098,0.98058,0.97938,"detalle_1",1,1,"moviles132"
"resumen_metricas1166","modelo_reg_log_lasso - No_kernel",0.97,0.03,0.99115,0.94318,0.95876,0.98039,"detalle_1",1,2,"moviles132"
"resumen_metricas266","modelo_reg_log_lasso - No_kernel",0.955,0.045,1,0.94545,0.92308,0.95506,"detalle_1",1,3,"moviles132"
"resumen_metricas356","modelo_reg_log_lasso - No_kernel",0.97,0.03,0.98148,0.94845,0.95652,0.99029,"detalle_1",1,4,"moviles132"
"resumen_metricas456","modelo_reg_log_lasso - No_kernel",0.98,0.02,0.9881,0.98058,0.97115,0.98165,"detalle_1",1,5,"moviles132"
"resumen_metricas556","modelo_reg_log_lasso - No_kernel",0.9675,0.0325,1,0.93519,0.95876,0.97727,"detalle_1",2,1,"moviles132"
"resumen_metricas656","modelo_reg_log_lasso - No_kernel",0.965,0.035,0.97753,0.95146,0.95238,0.98058,"detalle_1",2,2,"moviles132"
"resumen_metricas756","modelo_reg_log_lasso - No_kernel",0.98,0.02,1,0.96907,0.96,0.99083,"detalle_1",2,3,"moviles132"
"resumen_metricas856","modelo_reg_log_lasso - No_kernel",0.9725,0.0275,0.98148,0.97196,0.95506,0.97917,"detalle_1",2,4,"moviles132"
"resumen_metricas956","modelo_reg_log_lasso - No_kernel",0.9725,0.0275,0.97059,0.97647,0.9633,0.98077,"detalle_1",2,5,"moviles132"
"resumen_metricas1056","modelo_reg_log_lasso - No_kernel",0.9625,0.0375,0.98947,0.91667,0.9569,0.98925,"detalle_1",3,1,"moviles132"
"resumen_metricas1176","modelo_reg_log_lasso - No_kernel",0.9825,0.0175,0.9898,0.98113,0.97802,0.98095,"detalle_1",3,2,"moviles132"
"resumen_metricas1256","modelo_reg_log_lasso - No_kernel",0.9775,0.0225,0.9898,0.97,0.95876,0.99048,"detalle_1",3,3,"moviles132"
"resumen_metricas1356","modelo_reg_log_lasso - No_kernel",0.98,0.02,1,0.98947,0.94845,0.98058,"detalle_1",3,4,"moviles132"
"resumen_metricas1456","modelo_reg_log_lasso - No_kernel",0.96,0.04,0.98077,0.95146,0.9596,0.94681,"detalle_1",3,5,"moviles132"
